Date,Opening,High,Low,Closing,Momentum,Range,ohlc
2010.06.04,1.2220309869375894,1.2326,1.2151,1.2220261248185764,4.86211901296052e-06,0.01749999999999985,1.2229392779390413
2010.06.06,1.208524031777557,1.2214,1.1954,1.2084973187686188,2.671300893819506e-05,0.026000000000000023,1.2084553376365441
2010.06.07,1.19201770573566,1.1965,1.1875,1.1920029925187023,1.471321695767358e-05,0.008999999999999897,1.1920051745635907
2010.06.08,1.1941196685879003,1.199,1.189000,1.1941254322766606,-5.763688760263008e-06,0.010000000000000009,1.1940612752161401
2010.06.09,1.1947513513513528,1.2008,1.1901,1.1947494521548594,1.8991964934045313e-06,0.010700000000000154,1.195100200876553
2010.06.10,1.198683261183259,1.2072,1.1923,1.1986942279942243,-1.096681096535157e-05,0.014900000000000135,1.199219372294371
2010.06.11,1.2083335694050998,1.2147,1.2007,1.208338385269123,-4.815864023122174e-06,0.01399999999999979,1.2080179886685556
2010.06.13,1.2099350790513852,1.2151,1.2044,1.2099387351778683,-3.6561264831203033e-06,0.010700000000000154,1.2098434535573133
2010.06.14,1.2166228116710864,1.2207,1.2115,1.2166350132625987,-1.2201591512273069e-05,0.009199999999999875,1.2163644562334213
2010.06.15,1.2224977205882417,1.2297,1.2162,1.2225047794117707,-7.058823529026981e-06,0.013500000000000068,1.222725625000003
2010.06.16,1.228052408759124,1.2348,1.2167,1.2280635766423342,-1.1167883210205787e-05,0.018100000000000005,1.2269039963503645
2010.06.17,1.2300472262773716,1.2352,1.2254,1.2300455474452545,1.6788321171024023e-06,0.009800000000000031,1.2301731934306566
2010.06.18,1.2355109639440789,1.2412,1.2241,1.235526269315676,-1.5305371597218453e-05,0.017100000000000115,1.2340843083149386
2010.06.20,1.2377701718908065,1.2415,1.2352,1.2377711830131495,-1.011122342964299e-06,0.006299999999999972,1.238060338725989
2010.06.21,1.2417461346633418,1.2467,1.2367,1.2417428927680798,3.241895262018346e-06,0.010000000000000009,1.2417222568578552
2010.06.22,1.2365101719197666,1.2466,1.2283,1.2365029369627452,7.234957021484689e-06,0.018299999999999983,1.236978277220628
2010.06.23,1.228309468317548,1.2327,1.2244,1.2283105608157279,-1.0924981799220745e-06,0.008299999999999974,1.228430007283319
2010.06.24,1.2285901627218945,1.2351,1.2208,1.2285957840236699,-5.621301775393661e-06,0.01429999999999998,1.228271486686391
2010.06.25,1.231877613046701,1.2387,1.226,1.2318788732394377,-1.2601927366073795e-06,0.012699999999999934,1.2321141215715348
2010.06.27,1.232349454905851,1.2394,1.2253,1.2323541129831543,-4.658077303432151e-06,0.014100000000000001,1.2323508919722512
2010.06.28,1.2381230538922163,1.2396,1.2368,1.238132634730539,-9.580838322698071e-06,0.0028000000000001357,1.2381639221556888
2010.06.29,1.2318169300225679,1.2385,1.2257,1.2318080511662846,8.878856283311976e-06,0.012799999999999923,1.231956245297213
2010.06.30,1.2201869659666933,1.2271,1.215,1.2201874004344702,-4.344677768663985e-07,0.0121,1.220618591600291
2010.07.01,1.2240955072463802,1.2303,1.2192,1.224094855072469,6.521739110976199e-07,0.011099999999999888,1.2244225905797121
2010.07.02,1.2403897727272724,1.2539,1.2195,1.240412002840911,-2.2230113638554982e-05,0.034399999999999986,1.2385504438920458
2010.07.04,1.2536105953582262,1.261,1.2481,1.2536182643794154,-7.669021189204983e-06,0.012899999999999912,1.2540822149344104
2010.07.05,1.254260060060061,1.2564,1.2521,1.2542567567567569,3.3033033042251247e-06,0.0042999999999999705,1.2542542042042044
2010.07.06,1.2526370554177015,1.2557,1.2479,1.2526401985111681,-3.1430934666065724e-06,0.007800000000000029,1.2522193134822175
2010.07.07,1.2600304410701362,1.2661,1.2517,1.2600390455531447,-8.604483008545216e-06,0.014399999999999968,1.2594673716558202
2010.07.08,1.2613368269920981,1.2687,1.2552,1.2613444364680497,-7.609475951575462e-06,0.013499999999999845,1.261645315865037
2010.07.09,1.2670177075679652,1.2711,1.2633,1.2670252020573132,-7.4944893480033414e-06,0.007799999999999807,1.2671107274063196
2010.07.11,1.2658945010183278,1.2728,1.2608,1.2658861507128285,8.35030549928284e-06,0.01200000000000001,1.2663451629327889
2010.07.12,1.261773451327433,1.2646,1.2586,1.2617716814159299,1.7699115031355461e-06,0.006000000000000005,1.2616862831858406
2010.07.13,1.258459415833974,1.2612,1.255,1.258459492697924,-7.686395009365299e-08,0.006200000000000205,1.2582797271329746
2010.07.14,1.2652526700804732,1.2737,1.2522,1.2652616678858857,-8.99780541252504e-06,0.021500000000000075,1.2641035844915898
2010.07.15,1.2726698518518482,1.2777,1.2682,1.2726686666666625,1.1851851857702655e-06,0.009500000000000064,1.2728096296296278
2010.07.16,1.2853750918442315,1.2954,1.2716,1.2853883908890507,-1.3299044819170547e-05,0.023800000000000043,1.2844408706833206
2010.07.18,1.2941814889336023,1.3006,1.2888,1.2941870221327976,-5.533199195273397e-06,0.011800000000000033,1.2944421277666
2010.07.19,1.2901035714285707,1.292,1.2882,1.2901041208791206,-5.494505499470392e-07,0.0038000000000000256,1.2901019230769228
2010.07.20,1.2946244760478984,1.2991,1.2869,1.2946337574850242,-9.281437125752134e-06,0.012199999999999989,1.2938145583832306
2010.07.21,1.2913226834692364,1.3027,1.2838,1.291316530763528,6.1527057084731496e-06,0.018899999999999917,1.292284803558191
2010.07.22,1.2808799267399225,1.2912,1.2731,1.2808799999999976,-7.326007511743171e-08,0.018100000000000005,1.28151498168498
2010.07.23,1.2862329197080253,1.2932,1.274,1.2862424087591238,-9.489051098432455e-06,0.019199999999999884,1.2849188321167873
2010.07.25,1.288761049445003,1.2964,1.2792,1.2887646821392527,-3.632694249633417e-06,0.017200000000000104,1.288281432896064
2010.07.26,1.2914475935828886,1.2943,1.2876,1.2914572192513374,-9.625668448753899e-06,0.006699999999999928,1.2912012032085565
2010.07.27,1.2958840090090151,1.3016,1.2888,1.2958920420420477,-8.03303303253955e-06,0.012800000000000145,1.2955440127627658
2010.07.28,1.2993533873343186,1.3045,1.2951,1.299352650957293,7.363770255786051e-07,0.009400000000000075,1.2995765095729028
2010.07.29,1.2997810952738218,1.3041,1.2968,1.299787546886723,-6.451612901248183e-06,0.007300000000000084,1.3001171605401363
2010.07.30,1.3064289992695346,1.3105,1.3003,1.3064392987582087,-1.0299488674148094e-05,0.010199999999999987,1.3059170745069357
2010.08.01,1.3041483614697074,1.3092,1.2979,1.3041473684210494,9.930486579712294e-07,0.011299999999999866,1.3038489324726892
2010.08.02,1.3070574193548388,1.3086,1.3053,1.3070722580645173,-1.4838709678555162e-05,0.0033000000000000806,1.3070074193548389
2010.08.03,1.3130470229007605,1.3194,1.3055,1.3130552671755693,-8.244274808832941e-06,0.013899999999999801,1.3127505725190824
2010.08.04,1.3216748417721567,1.3261,1.3146,1.3216803006329134,-5.458860756757389e-06,0.011500000000000066,1.3210137856012676
2010.08.05,1.3179498138495955,1.3232,1.313,1.3179436336560015,6.180193593996464e-06,0.010199999999999987,1.3180233618763992
2010.08.06,1.3174561580170436,1.3234,1.3118,1.3174589465530628,-2.7885360192048125e-06,0.011599999999999833,1.3175287761425265
2010.08.08,1.3232653250773978,1.3333,1.3157,1.3232794633642917,-1.4138286893894403e-05,0.017599999999999838,1.3238861971104223
2010.08.09,1.3283244827586198,1.3295,1.3275,1.3283158620689641,8.620689655680636e-06,0.0020000000000000018,1.3284100862068957
2010.08.10,1.3238468304278888,1.3307,1.3134,1.323836529318541,1.030110934774342e-05,0.017300000000000093,1.3229458399366074
2010.08.11,1.3144402520385494,1.3227,1.3073,1.314438991845813,1.260192736385335e-06,0.01540000000000008,1.3147198109710905
2010.08.12,1.294618656182993,1.312200,1.2829,1.2946029306647644,1.572551822870416e-05,0.029300000000000104,1.2960803967119392
2010.08.13,1.284775037481261,1.2931,1.2779,1.2847700899550256,4.947526235365984e-06,0.01519999999999988,1.2851362818590717
2010.08.15,1.2811678607983645,1.2905,1.2748,1.2811602865916067,7.574206757787749e-06,0.015700000000000047,1.281907036847493
2010.08.16,1.2764839887640451,1.2792,1.2733,1.2764932584269657,-9.26966292058573e-06,0.005899999999999794,1.2763693117977526
2010.08.17,1.2819819133034402,1.287,1.277,1.2819915545590455,-9.641255605208343e-06,0.010000000000000009,1.2819933669656214
2010.08.18,1.2868375753012091,1.2915,1.2824,1.2868395331325333,-1.9578313241730427e-06,0.009100000000000108,1.2868942771084355
2010.08.19,1.285362335766427,1.2921,1.2781,1.2853691970802958,-6.861313868844476e-06,0.014000000000000012,1.2852328832116808
2010.08.20,1.2822009447674412,1.2901,1.277,1.282205377906976,-4.433139534798514e-06,0.013100000000000112,1.2828765806686044
2010.08.22,1.2734276464542662,1.2832,1.2663,1.273423946557042,3.6998972241519823e-06,0.016899999999999915,1.274087898252827
2010.08.23,1.2706483050847477,1.2723,1.2688,1.2706542372881378,-5.932203390068835e-06,0.0035000000000000586,1.2706006355932213
2010.08.24,1.2676823703703675,1.2728,1.2619,1.2676811851851826,1.1851851848820871e-06,0.01089999999999991,1.2675158888888873
2010.08.25,1.2644978102189832,1.2718,1.2587,1.2645040145985442,-6.2043795610033925e-06,0.013100000000000112,1.2648754562043818
2010.08.26,1.265794087213601,1.2726,1.2607,1.265803325942352,-9.23872875091547e-06,0.011900000000000022,1.2662243532889883
2010.08.27,1.2708478966789738,1.2763,1.2663,1.2708495202952086,-1.6236162347915695e-06,0.010000000000000009,1.2710743542435456
2010.08.29,1.272513211382118,1.2778,1.2675,1.2725147357723625,-1.5243902444783686e-06,0.010299999999999976,1.2725819867886201
2010.08.30,1.2748360360360365,1.2768,1.2733,1.2748432432432435,-7.20720720703838e-06,0.0034999999999998366,1.27494481981982
2010.08.31,1.2688144048521595,1.2746,1.2632,1.2688148597422284,-4.5489006894605666e-07,0.011399999999999855,1.268857316148597
2010.09.01,1.2681472902746829,1.2742,1.2624,1.268151521900519,-4.231625836181863e-06,0.011800000000000033,1.2682247030438005
2010.09.02,1.2783644427596705,1.2854,1.2695,1.278371645185752,-7.2024260815428676e-06,0.015900000000000025,1.2779090219863556
2010.09.03,1.2814981337480618,1.2847,1.2776,1.281504432348373,-6.298600311316349e-06,0.007099999999999884,1.2813256415241088
2010.09.05,1.2851141339001069,1.2896,1.2808,1.285120085015939,-5.9511158321257085e-06,0.008800000000000141,1.2851585547290116
2010.09.06,1.288655789473683,1.29,1.2871,1.288644561403507,1.1228070176061422e-05,0.0029000000000001247,1.2886000877192973
2010.09.07,1.2867846088435364,1.2918,1.2788,1.2867772959183668,7.312925169644657e-06,0.013000000000000123,1.2860404761904758
2010.09.08,1.273264899178492,1.2814,1.2676,1.273254219566841,1.0679611651021048e-05,0.013800000000000034,1.2738797796863333
2010.09.09,1.2717193792581432,1.2763,1.2659,1.2717204390613237,-1.0598031805475472e-06,0.010399999999999965,1.2714099545798667
2010.09.10,1.2700580860534174,1.2765,1.2644,1.270053931750746,4.154302671421917e-06,0.0121,1.2702530044510407
2010.09.12,1.2711414807302241,1.2746,1.2663,1.2711440162271828,-2.5354969586111054e-06,0.008299999999999974,1.2707963742393518
